DateTime,Boulder - grid,Boulder - EV,Boulder - solar

2019/3/1 00:00,0.62,0.004,

2019/3/1 00:15,0.77,0.004,

2019/3/1 00:30,0.789,0.004,

2019/3/1 00:45,0.763,0.004,

2019/3/1 01:00,0.799,0.004,

2019/3/1 01:15,0.826,0.004,

2019/3/1 01:30,0.702,0.004,

2019/3/1 01:45,0.704,0.004,

2019/3/1 02:00,0.902,0.004,

2019/3/1 02:15,0.875,0.004,

2019/3/1 02:30,0.901,0.004,

2019/3/1 02:45,0.846,0.004,

2019/3/1 03:00,0.69,0.004,

2019/3/1 03:15,0.691,0.004,

2019/3/1 03:30,0.767,0.004,

2019/3/1 03:45,0.808,0.004,

2019/3/1 04:00,0.931,0.004,

2019/3/1 04:15,0.693,0.004,

2019/3/1 04:30,0.729,0.004,

2019/3/1 04:45,0.844,0.004,

2019/3/1 05:00,0.874,0.004,

2019/3/1 05:15,0.799,0.004,

2019/3/1 05:30,0.775,0.004,

2019/3/1 05:45,0.646,0.004,

2019/3/1 06:00,1.234,0.004,

2019/3/1 06:15,0.992,0.004,

2019/3/1 06:30,1.016,0.004,

2019/3/1 06:45,0.971,0.004,

2019/3/1 07:00,1.079,0.004,

2019/3/1 07:15,1.131,0.004,

2019/3/1 07:30,1.154,0.004,

2019/3/1 07:45,1.096,0.004,

2019/3/1 08:00,0.953,0.004,

2019/3/1 08:15,0.458,0.004,

2019/3/1 08:30,0.232,0.004,

2019/3/1 08:45,-0.13,0.004,

2019/3/1 09:00,-0.191,0.004,

2019/3/1 09:15,-0.526,0.004,

2019/3/1 09:30,-0.398,0.004,

2019/3/1 09:45,-0.823,0.004,

2019/3/1 10:00,-1.137,0.004,

2019/3/1 10:15,-1.558,0.004,

2019/3/1 10:30,-1.688,0.004,

2019/3/1 10:45,-1.913,0.004,

2019/3/1 11:00,-2.151,0.004,

2019/3/1 11:15,-1.929,0.004,

2019/3/1 11:30,-1.918,0.004,

2019/3/1 11:45,-2.426,0.004,

2019/3/1 12:00,-2.493,0.004,

2019/3/1 12:15,-2.003,0.004,

2019/3/1 12:30,-2.1,0.004,

2019/3/1 12:45,-2.544,0.004,

2019/3/1 13:00,-2.421,0.004,

2019/3/1 13:15,-2.691,0.004,

2019/3/1 13:30,-1.971,0.004,

2019/3/1 13:45,-2.59,0.004,

2019/3/1 14:00,-2.626,0.004,

2019/3/1 14:15,-2.554,0.004,

2019/3/1 14:30,-2.31,0.004,

2019/3/1 14:45,-1.893,0.004,

2019/3/1 15:00,-1.725,0.004,

2019/3/1 15:15,-1.907,0.004,

2019/3/1 15:30,-1.465,0.004,

2019/3/1 15:45,-1.019,0.004,

2019/3/1 16:00,-0.757,0.004,

2019/3/1 16:15,-0.417,0.004,

2019/3/1 16:30,-0.014,0.004,

2019/3/1 16:45,0.286,0.004,

2019/3/1 17:00,0.323,0.004,

2019/3/1 17:15,0.492,0.004,

2019/3/1 17:30,4.787,3.74,

2019/3/1 17:45,7.46,6.575,

2019/3/1 18:00,7.37,6.576,

2019/3/1 18:15,7.558,6.579,

2019/3/1 18:30,5.943,5.147,

2019/3/1 18:45,3.702,2.469,

2019/3/1 19:00,2.778,1.342,

2019/3/1 19:15,2.152,0.835,

2019/3/1 19:30,1.456,0.445,

2019/3/1 19:45,1.3,0.264,

2019/3/1 20:00,1.438,0.179,

2019/3/1 20:15,1.818,0.004,

2019/3/1 20:30,1.594,0.004,

2019/3/1 20:45,1.583,0.004,

2019/3/1 21:00,1.492,0.004,

2019/3/1 21:15,1.51,0.004,

2019/3/1 21:30,1.669,0.004,

2019/3/1 21:45,1.46,0.004,

2019/3/1 22:00,1.303,0.004,

2019/3/1 22:15,1.342,0.004,

2019/3/1 22:30,1.234,0.004,

2019/3/1 22:45,1.273,0.004,

2019/3/1 23:00,0.874,0.004,

2019/3/1 23:15,0.71,0.004,

2019/3/1 23:30,0.66,0.004,

2019/3/1 23:45,0.772,0.004,

2019/3/2 00:00,0.776,0.004,

2019/3/2 00:15,0.778,0.004,

2019/3/2 00:30,0.773,0.004,

2019/3/2 00:45,0.749,0.004,

2019/3/2 01:00,0.806,0.004,

2019/3/2 01:15,0.716,0.004,

2019/3/2 01:30,0.84,0.004,

2019/3/2 01:45,0.909,0.004,

2019/3/2 02:00,0.905,0.004,

2019/3/2 02:15,0.89,0.004,

2019/3/2 02:30,0.837,0.004,

2019/3/2 02:45,0.786,0.004,

2019/3/2 03:00,0.865,0.004,

2019/3/2 03:15,0.787,0.004,

2019/3/2 03:30,0.748,0.004,

2019/3/2 03:45,0.716,0.004,

2019/3/2 04:00,0.66,0.004,

2019/3/2 04:15,0.677,0.004,

2019/3/2 04:30,0.746,0.004,

2019/3/2 04:45,0.771,0.004,

2019/3/2 05:00,0.769,0.004,

2019/3/2 05:15,0.669,0.004,

2019/3/2 05:30,0.654,0.004,

2019/3/2 05:45,0.739,0.004,

2019/3/2 06:00,0.89,0.004,

2019/3/2 06:15,0.899,0.004,

2019/3/2 06:30,0.805,0.004,

2019/3/2 06:45,0.626,0.004,

2019/3/2 07:00,0.625,0.004,

2019/3/2 07:15,1.536,0.004,

2019/3/2 07:30,0.899,0.004,

2019/3/2 07:45,0.916,0.004,

2019/3/2 08:00,1.093,0.004,

2019/3/2 08:15,0.895,0.004,

2019/3/2 08:30,1.428,0.004,

