DateTime,NY - grid,NY - EV,NY - solar,Austin - grid,Austin - EV,Austin - solar,Boulder - grid,Boulder - EV,Boulder - solar
2019/3/1 00:00,0.295,0.003,0.014,0.76,0,,0.62,0.004,
2019/3/1 00:15,0.463,0.003,0.014,0.751,0,,0.77,0.004,
2019/3/1 00:30,0.366,0.003,0.014,0.36,0,,0.789,0.004,
2019/3/1 00:45,0.225,0.003,0.014,0.343,0,,0.763,0.004,
2019/3/1 01:00,0.198,0.003,0.014,0.329,0,,0.799,0.004,
2019/3/1 01:15,0.331,0.003,0.014,0.33,0,,0.826,0.004,
2019/3/1 01:30,0.184,0.003,0.014,0.338,0,,0.702,0.004,
2019/3/1 01:45,0.297,0.003,0.014,0.348,0,,0.704,0.004,
2019/3/1 02:00,0.808,0.004,0.014,0.348,0,,0.902,0.004,
2019/3/1 02:15,0.574,0.004,0.014,0.347,0,,0.875,0.004,
2019/3/1 02:30,0.405,0.003,0.014,0.349,0,,0.901,0.004,
2019/3/1 02:45,0.404,0.003,0.014,0.348,0,,0.846,0.004,
2019/3/1 03:00,0.484,0.003,0.014,0.343,0,,0.69,0.004,
2019/3/1 03:15,1.371,1.126,0.014,0.342,0,,0.691,0.004,
2019/3/1 03:30,1.728,1.515,0.015,0.341,0,,0.767,0.004,
2019/3/1 03:45,0.276,0.003,0.015,0.34,0,,0.808,0.004,
2019/3/1 04:00,0.576,0.003,0.015,0.356,0,,0.931,0.004,
2019/3/1 04:15,0.469,0.003,0.015,0.361,0,,0.693,0.004,
2019/3/1 04:30,0.542,0.004,0.015,0.359,0,,0.729,0.004,
2019/3/1 04:45,0.875,0.004,0.015,0.401,0,,0.844,0.004,
2019/3/1 05:00,0.638,0.003,0.015,0.359,0,,0.874,0.004,
2019/3/1 05:15,0.434,0.003,0.015,0.41,0,,0.799,0.004,
2019/3/1 05:30,0.394,0.003,0.014,0.409,0,,0.775,0.004,
2019/3/1 05:45,0.564,0.003,0.014,0.343,0,,0.646,0.004,
2019/3/1 06:00,0.504,0.003,0.015,0.399,0,,1.234,0.004,
2019/3/1 06:15,0.33,0.003,0.014,0.394,0,,0.992,0.004,
2019/3/1 06:30,2.337,0.002,0.014,0.343,0,,1.016,0.004,
2019/3/1 06:45,3.071,0.002,0.014,0.401,0,,0.971,0.004,
2019/3/1 07:00,0.366,0.003,0.014,0.404,0,,1.079,0.004,
2019/3/1 07:15,0.548,0.003,0.014,0.503,0,,1.131,0.004,
2019/3/1 07:30,0.478,0.003,0.014,0.61,0,,1.154,0.004,
2019/3/1 07:45,0.465,0.003,0.014,0.61,0,,1.096,0.004,
2019/3/1 08:00,0.805,0.003,0.014,0.65,0,,0.953,0.004,
2019/3/1 08:15,0.468,0.003,0.015,0.571,0,,0.458,0.004,
2019/3/1 08:30,0.342,0.003,0.015,0.478,0,,0.232,0.004,
2019/3/1 08:45,0.558,0.003,0.015,0.541,0,,-0.13,0.004,
2019/3/1 09:00,0.901,0.004,0.015,0.482,0,,-0.191,0.004,
2019/3/1 09:15,0.787,0.003,0.015,0.476,0,,-0.526,0.004,
2019/3/1 09:30,0.412,0.003,0.015,0.492,0,,-0.398,0.004,
2019/3/1 09:45,0.474,0.003,0.015,0.479,0,,-0.823,0.004,
2019/3/1 10:00,0.578,0.003,0.015,0.477,0,,-1.137,0.004,
2019/3/1 10:15,0.543,0.003,0.015,0.491,0,,-1.558,0.004,
2019/3/1 10:30,0.522,0.003,0.014,0.007,0,,-1.688,0.004,
2019/3/1 10:45,0.351,0.003,0.014,-0.203,0,,-1.913,0.004,
2019/3/1 11:00,0.694,0.003,0.014,-0.215,0,,-2.151,0.004,
2019/3/1 11:15,1.013,0.003,0.014,-0.176,0,,-1.929,0.004,
2019/3/1 11:30,0.977,0.003,0.014,-0.309,0,,-1.918,0.004,
2019/3/1 11:45,4.191,0.002,0.014,-0.207,0,,-2.426,0.004,
2019/3/1 12:00,3.54,0.003,0.014,0.472,0.001,,-2.493,0.004,
2019/3/1 12:15,0.841,0.003,0.014,0.955,0.002,,-2.003,0.004,
2019/3/1 12:30,0.724,0.003,0.014,0.637,0.001,,-2.1,0.004,
2019/3/1 12:45,0.408,0.003,0.014,0.185,0,,-2.544,0.004,
2019/3/1 13:00,0.293,0.003,0.014,1.093,0,,-2.421,0.004,
2019/3/1 13:15,0.391,0.003,0.014,0.447,0,,-2.691,0.004,
2019/3/1 13:30,0.385,0.003,0.014,0.581,0,,-1.971,0.004,
2019/3/1 13:45,0.287,0.003,0.015,-0.007,0,,-2.59,0.004,
2019/3/1 14:00,0.324,0.003,0.018,-0.203,0,,-2.626,0.004,
2019/3/1 14:15,0.366,0.003,0.02,-0.092,0,,-2.554,0.004,
2019/3/1 14:30,0.998,0.004,0.022,0.008,0,,-2.31,0.004,
2019/3/1 14:45,0.829,0.004,0.023,0.028,0,,-1.893,0.004,
2019/3/1 15:00,0.458,0.003,0.025,0.061,0,,-1.725,0.004,
2019/3/1 15:15,0.46,0.003,0.022,0.166,0,,-1.907,0.004,
2019/3/1 15:30,0.554,0.003,0.018,0.168,0,,-1.465,0.004,
2019/3/1 15:45,0.359,0.003,0.016,0.22,0,,-1.019,0.004,
2019/3/1 16:00,0.341,0.003,0.015,0.189,0,,-0.757,0.004,
2019/3/1 16:15,0.478,0.003,0.014,0.286,0,,-0.417,0.004,
2019/3/1 16:30,0.385,0.003,0.014,0.406,0,,-0.014,0.004,
2019/3/1 16:45,1.28,0.929,0.014,0.45,0,,0.286,0.004,
2019/3/1 17:00,3.873,3.338,0.014,0.477,0,,0.323,0.004,
2019/3/1 17:15,4.376,3.34,0.014,0.556,0,,0.492,0.004,
2019/3/1 17:30,4.389,3.341,0.014,2.629,2.12,,4.787,3.74,
2019/3/1 17:45,8.029,3.34,0.014,3.779,3.321,,7.46,6.575,
2019/3/1 18:00,8.997,3.333,0.013,3.392,2.857,,7.37,6.576,
2019/3/1 18:15,6.773,3.347,0.013,0.472,0,,7.558,6.579,
2019/3/1 18:30,5.701,3.341,0.013,0.446,0,,5.943,5.147,
2019/3/1 18:45,4.276,3.341,0.014,0.444,0,,3.702,2.469,
2019/3/1 19:00,3.388,2.893,0.014,0.425,0,,2.778,1.342,
2019/3/1 19:15,1.751,0.863,0.014,0.346,0,,2.152,0.835,
2019/3/1 19:30,0.932,0.004,0.014,0.425,0,,1.456,0.445,
2019/3/1 19:45,0.58,0.003,0.014,0.448,0,,1.3,0.264,
2019/3/1 20:00,0.585,0.003,0.014,0.492,0,,1.438,0.179,
2019/3/1 20:15,0.504,0.003,0.014,0.771,0,,1.818,0.004,
2019/3/1 20:30,0.347,0.003,0.014,0.843,0,,1.594,0.004,
2019/3/1 20:45,0.43,0.003,0.014,3.125,2.298,,1.583,0.004,
2019/3/1 21:00,0.228,0.003,0.014,4.224,3.325,,1.492,0.004,
2019/3/1 21:15,0.192,0.003,0.014,4.185,3.342,,1.51,0.004,
2019/3/1 21:30,0.211,0.003,0.014,3.964,3.334,,1.669,0.004,
2019/3/1 21:45,0.435,0.003,0.014,3.94,3.337,,1.46,0.004,
2019/3/1 22:00,0.323,0.003,0.014,3.08,2.565,,1.303,0.004,
2019/3/1 22:15,0.268,0.003,0.014,0.607,0.02,,1.342,0.004,
2019/3/1 22:30,0.269,0.003,0.014,0.612,0,,1.234,0.004,
2019/3/1 22:45,0.236,0.003,0.014,0.517,0,,1.273,0.004,
2019/3/1 23:00,0.184,0.003,0.014,0.506,0,,0.874,0.004,
2019/3/1 23:15,0.186,0.003,0.014,0.405,0,,0.71,0.004,
2019/3/1 23:30,0.383,0.003,0.014,0.364,0,,0.66,0.004,
2019/3/1 23:45,0.73,0.004,0.014,0.449,0,,0.772,0.004,
2019/3/2 00:00,0.577,0.004,0.014,0.462,0,,0.776,0.004,
2019/3/2 00:15,0.439,0.003,0.014,0.458,0,,0.778,0.004,
2019/3/2 00:30,0.398,0.003,0.014,0.445,0,,0.773,0.004,
2019/3/2 00:45,0.192,0.003,0.015,0.357,0,,0.749,0.004,
2019/3/2 01:00,0.178,0.003,0.015,0.43,0,-0.008,0.806,0.004,
